website|public|transcript_segments|0|0|5|0|0|0|0|0||||
website|public|transcripts|0|0|5|0|0|0|0|0||||
website|public|vat_id_validations|0|0|7|0|0|0|0|0||||
website|public|web_sessions|3|6|9143|284464|736|174|652|171||2026-05-23 17:14:00.726274+00||2026-05-23 17:10:00.613731+00
website|public|website_custom_sections|0|0|17|0|0|0|0|0||||
website|tickets|pr_events|0|0|9|0|0|0|0|0||||
website|tickets|tags|2|0|647|386|16|2|0|0||||
website|tickets|ticket_activity|295|0|9|1294|23|295|0|0||||2026-05-20 18:58:48.434326+00
website|tickets|ticket_attachments|4|0|8|6|41|4|0|0||||
website|tickets|ticket_comments|24|1|9|107|25|24|1|0||||
website|tickets|ticket_counters|1|29|62|61|223|1|131|0||2026-05-20 18:35:48.275335+00||2026-05-20 19:17:48.637539+00
website|tickets|ticket_links|0|0|11|0|416|0|0|0||||
website|tickets|ticket_plans|21|1|8|96|6|21|1|0||||
website|tickets|ticket_tags|5|0|7|14|762|5|0|0||||
website|tickets|ticket_watchers|0|0|6|0|27|0|0|0||||
website|tickets|tickets|150|31|2592|83989|2251|156|243|0||2026-05-20 20:14:49.133487+00||2026-05-20 22:13:50.531156+00
