# batch	slug	ticket	ticket_status	target_spec(s)	archive_flag
7	t002184-livekit-removal	T002184	done	fleet-operations,health-goals,website-interfaces,workspace-deploy	
7	t002185-health-goals-cronjob	T002185	done	monitoring-alerts	
7	t002186-ci-watch	T002186	done	ci-cd	
7	t002187-pocket-id-seed-fix	T002187	done	auth-sso	
7	t002188-dev-flow-plan-fix	T002188	done	dev-flow-plan	
7	t002196-website-api-status	T002196	done	website-interfaces	
7	t002207-flux-health-gate	T002207	done	workspace-deploy	
7	t2429-stdio-mcps-bridge	T002429	done	local-llm-proxy	
7	task-context-channel	T002420	done	dev-flow-plan	
7	ticket-pgpod-running-pod-selector	T002307	done	mcp-gateway,ticket-system	
7	ticket-sh-brand-derivation	T002280	done	ticket-system	
7	ticket-type-vocabulary	T002329	done	software-factory,ticket-system	
7	toolset-registry	T002560	done	toolset-registry	--create-new
7	unified-llm-gateway	T002102	done	local-llm-proxy,software-factory	
7	website-e2e-fixes	T002080	done	website-e2e-fixes	--create-new
7	worktree-divergence-guard-T002387	T002387	done	worktree-divergence-guard-T002387	--create-new
7	website-db-split	T002149	done	website-db-split	--create-new
7	t002150-website-db-split-stage-2	T002150	done	website-db-split	
